#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
185	Pillar Pillar	PLR	$37,351,114	$0.144019	259,348,201 *	$74,313	0.07%	-2.93%	-6.33%
186	NANJCOIN NANJCOIN	NANJ	$37,056,055	$0.001914	19,361,889,557 *	$150,689	-0.21%	2.39%	12.22%
187	Electra Electra	ECA	$36,827,668	$0.001417	25,998,216,856	$277,734	0.67%	3.15%	25.84%
188	Crypterium Crypterium	CRPT	$36,469,152	$0.461304	79,056,577 *	$750,288	-0.10%	-4.42%	-11.55%
189	BLOCKv BLOCKv	VEE	$36,217,376	$0.018394	1,968,986,470 *	$206,555	-0.06%	15.01%	9.15%
190	POA Network POA Network	POA	$35,986,663	$0.175227	205,371,523 *	$1,170,969	0.23%	3.28%	9.21%
191	SophiaTX SophiaTX	SPHTX	$35,491,668	$0.184716	192,141,767 *	$121,726	0.41%	16.64%	5.95%
192	Stakenet Stakenet	XSN	$35,294,164	$0.514109	68,651,113 *	$124,032	-0.17%	-0.37%	-8.35%
193	Po.et Po.et	POE	$34,815,406	$0.015027	2,316,819,862 *	$576,078	0.39%	3.14%	12.58%
194	Ubiq Ubiq	UBQ	$34,639,628	$0.835472	41,461,137	$24,080	-0.05%	-2.17%	5.07%
195	Trade Token Trade Token	TIO	$34,616,112	$0.384960	89,921,436 *	$383,279	0.11%	4.72%	13.94%
196	Cube Cube	AUTO	$34,606,653	$0.005515	6,274,940,000 *	$464,579	-0.01%	21.20%	13.85%
197	SIRIN LABS Token SIRIN LABS Token	SRN	$34,597,797	$0.150912	229,258,029 *	$1,034,241	0.02%	-1.27%	1.24%
198	NKN NKN	NKN	$34,015,321	$0.228038	149,165,312 *	$893,369	0.00%	-3.26%	0.75%
199	Peercoin Peercoin	PPC	$33,984,190	$1.37	24,832,859	$339,673	0.17%	-1.60%	-6.38%
200	IoT Chain IoT Chain	ITC	$33,812,828	$0.561636	60,204,175 *	$6,143,345	0.06%	6.69%	20.23%
201	Metal Metal	MTL	$33,385,209	$1.33	25,130,243 *	$1,104,357	0.11%	2.18%	6.15%
202	ZClassic ZClassic	ZCL	$32,647,777	$7.60	4,297,325	$194,014	-0.18%	-2.39%	-4.98%
203	Unobtanium Unobtanium	UNO	$32,365,168	$162.75	198,866	$74,778	-0.12%	11.58%	28.17%
204	DATA DATA	DTA	$32,322,547	$0.006986	4,626,502,186 *	$653,540	0.36%	3.61%	19.09%
205	BridgeCoin BridgeCoin	BCO	$31,924,050	$1.18	27,000,000	$12,476	-0.55%	5.68%	67.02%
206	IHT Real Estate Protocol IHT Real Esta...	IHT	$31,588,437	$0.061774	511,351,060 *	$688,557	0.03%	-0.07%	1.18%
207	Telcoin Telcoin	TEL	$31,489,979	$0.001025	30,734,017,993 *	$145,905	0.31%	2.53%	0.92%
208	ETHLend ETHLend	LEND	$31,036,065	$0.028303	1,096,556,877 *	$962,541	0.62%	11.34%	21.72%
209	Bitcoin Interest Bitcoin Interest	BCI	$30,634,094	$1.67	18,326,892	$66,929	-0.29%	-1.83%	-36.92%
210	Ink Ink	INK	$30,407,441	$0.065546	463,910,527 *	$3,633,925	0.04%	0.80%	2.67%
211	MinexCoin MinexCoin	MNX	$30,261,056	$7.71	3,925,980	$47,075	-0.12%	6.13%	75.85%
212	IoTeX IoTeX	IOTX	$30,183,484	$0.026453	1,141,040,005 *	$2,815,162	-0.11%	-2.57%	1.37%
213	Genesis Vision Genesis Vision	GVT	$30,013,280	$8.05	3,726,781 *	$2,265,312	0.18%	1.45%	-0.38%
